수도권,9904312,9631482,9762546,9853972,,0.0283
경상권,3448737,3393191,3512547,3655437,,0.0163
수도권,2890451,2632035,2517680,2466338,,0.0982
경상권,2466052,2431774,2456016,2473990,,0.0141
