전철역명,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
419민주묘지,,,,
가오리,,,,
화계,,,,
풍기,,,,
지평,,,,
북한산우이,,,,
탕정,,,,
여주,,,,
솔밭공원,,,,
삼양,,,,
삼양사거리,,,,
솔샘,,,,
북한산보국문,,,,
정릉,,,,
